city,facility,role,employment,pay_type,pay_min,pay_max,source_url
守山市,児童発達支援・放課後等デイサービス ドリーム HARIMADAの児童指導員/指導員求人（正職員）,児発管,正職員,月給,222000,272000,https://job-medley.com/apl/1155417/
守山市,放課後等デイサービス ドリームの児童指導員/指導員求人（正職員）,児発管,正職員,月給,222000,272000,https://job-medley.com/apl/944490/
守山市,放課後等デイサービス凜守山の指導員求人,児童指導員,正職員,月給,195500,312000,https://job-medley.com/apl/291498/
守山市,放課後等デイサービス マザーズ守山の児童指導員求人,児童指導員,正職員,月給,258240,288170,https://job-medley.com/apl/945221/
守山市,ジュニアスペース・らいぶ守山の児童指導員/指導員求人（正職員）,児童指導員,正職員,月給,262000,300000,https://job-medley.com/apl/638658/
守山市,チャイルドサポートもりやまの児童指導員/指導員求人（正職員）,児童指導員,正職員,月給,225000,275000,https://job-medley.com/apl/1463081/
守山市,すくすく広場だいちの児童指導員/指導員求人,児童指導員,正職員,月給,220000,300000,https://job-medley.com/apl/1176757/
守山市,放課後等デイサービスからふるの指導員求人,児童指導員,正職員,月給,211500,211500,https://job-medley.com/apl/394998/
守山市,通所支援事業所 YELLの指導員求人,児童指導員,パート,時給,1100,1700,https://job-medley.com/apl/491554/
守山市,児童発達支援・放課後等デイサービス ドリーム HARIMADAの児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1100,1200,https://job-medley.com/apl/1302087/
守山市,放課後等デイサービス ドリームの児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1150,1200,https://job-medley.com/apl/1002358/
守山市,放課後等デイサービス凜元町の指導員求人,児童指導員,パート,時給,1250,1496,https://job-medley.com/apl/291494/
守山市,放課後等デイサービス凜守山の指導員求人,児童指導員,パート,時給,1250,1496,https://job-medley.com/apl/291502/
守山市,放課後等デイサービス マザーズ守山の児童指導員（療育・学習補助）求人,児童指導員,パート,時給,1320,1460,https://job-medley.com/apl/1002418/
守山市,成基の療育教室 ゴールフリーB5守山教室の児童指導員求人,児童指導員,パート,時給,1200,1800,https://job-medley.com/apl/1147663/
守山市,ジュニアスペース・らいぶ守山の児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1330,1360,https://job-medley.com/apl/1065763/
守山市,チャイルドサポートもりやまの児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1200,1300,https://job-medley.com/apl/1611390/
守山市,放課後等デイサービスからふるの指導員求人,児童指導員,パート,時給,1200,1200,https://job-medley.com/apl/1516886/
守山市,介護老人保健施設守山すみれ苑のセラピスト求人,専門職員,正職員,月給,218000,313000,https://job-medley.com/ot/170825/
守山市,日本リハビリ訪問看護ステーション守山の作業療法士求人（正職員）,専門職員,正職員,月給,250000,350000,https://job-medley.com/ot/1462599/
守山市,介護老人保健施設守山すみれ苑のセラピスト求人,専門職員,パート,時給,1670,1820,https://job-medley.com/ot/170826/
守山市,通所支援事業所 YELLの作業療法士求人,専門職員,パート,時給,1500,2100,https://job-medley.com/ot/491557/
守山市,日本リハビリ訪問看護ステーション守山の作業療法士求人（パート・バイト）,専門職員,パート,時給,1300,3000,https://job-medley.com/ot/1692192/
守山市,放課後等デイサービス凜守山の機能訓練指導員求人,専門職員,正職員,月給,197000,337000,https://job-medley.com/pt/154342/
守山市,日本リハビリ訪問看護ステーション守山の理学療法士求人（正職員）,専門職員,正職員,月給,250000,350000,https://job-medley.com/pt/1692181/
守山市,パーソナルリハビリセンターあいむ守山の機能訓練指導員求人,専門職員,パート,時給,1500,1500,https://job-medley.com/pt/1714331/
守山市,通所支援事業所 YELLの理学療法士求人,専門職員,パート,時給,1500,2100,https://job-medley.com/pt/491556/
守山市,チャイルドサポートもりやまのセラピスト求人,専門職員,パート,時給,1400,1400,https://job-medley.com/pt/1611387/
守山市,日本リハビリ訪問看護ステーション守山の理学療法士求人（パート・バイト）,専門職員,パート,時給,1300,3000,https://job-medley.com/pt/1692191/
